date,year,country,continent,monthly_hashrate_%,monthly_absolute_hashrate_EH/S
2019-09-01,2019,Mainland China,Asia,75.53,66.76
2019-09-01,2019,Other,Other,6.1,5.39
2019-09-01,2019,Russian Federation,Asia,5.93,5.24
2019-09-01,2019,United States,Americas,4.06,3.59
2019-09-01,2019,Malaysia,Asia,3.25,2.88
2019-09-01,2019,"Iran, Islamic Rep.",Asia,1.74,1.54
2019-09-01,2019,Kazakhstan,Asia,1.42,1.26
2019-09-01,2019,Canada,Americas,1.06,0.94
2019-09-01,2019,Germany *,,0.9,0.8
2019-09-01,2019,Ireland *,,0.0,0.0
2019-10-01,2019,Mainland China,Asia,74.78,71.03
2019-10-01,2019,Other,Other,6.29,5.98
2019-10-01,2019,Russian Federation,Asia,5.87,5.57
2019-10-01,2019,United States,Americas,5.58,5.3
2019-10-01,2019,Malaysia,Asia,3.26,3.1
2019-10-01,2019,"Iran, Islamic Rep.",Asia,1.77,1.68
2019-10-01,2019,Kazakhstan,Asia,1.37,1.3
2019-10-01,2019,Canada,Americas,0.65,0.61
2019-10-01,2019,Germany *,,0.43,0.41
2019-10-01,2019,Ireland *,,0.0,0.0
2019-11-01,2019,Mainland China,Asia,72.33,66.21
2019-11-01,2019,Other,Other,6.66,6.1
2019-11-01,2019,United States,Americas,6.58,6.02
2019-11-01,2019,Russian Federation,Asia,6.24,5.72
2019-11-01,2019,Malaysia,Asia,3.66,3.35
2019-11-01,2019,Kazakhstan,Asia,1.71,1.56
2019-11-01,2019,"Iran, Islamic Rep.",Asia,1.6,1.46
2019-11-01,2019,Canada,Americas,0.87,0.79
2019-11-01,2019,Germany *,,0.34,0.31
2019-11-01,2019,Ireland *,,0.0,0.0
2019-12-01,2019,Mainland China,Asia,73.46,70.06
2019-12-01,2019,Russian Federation,Asia,6.23,5.94
2019-12-01,2019,Other,Other,6.2,5.92
2019-12-01,2019,Malaysia,Asia,3.92,3.74
2019-12-01,2019,United States,Americas,3.87,3.69
2019-12-01,2019,"Iran, Islamic Rep.",Asia,2.71,2.59
2019-12-01,2019,Kazakhstan,Asia,2.18,2.08
2019-12-01,2019,Canada,Americas,1.03,0.98
2019-12-01,2019,Germany *,,0.4,0.38
2019-12-01,2019,Ireland *,,0.0,0.0
2020-01-01,2020,Mainland China,Asia,72.69,79.41
2020-01-01,2020,Russian Federation,Asia,6.05,6.6
2020-01-01,2020,Other,Other,5.56,6.08
2020-01-01,2020,Malaysia,Asia,4.13,4.52
2020-01-01,2020,Kazakhstan,Asia,3.49,3.81
2020-01-01,2020,United States,Americas,3.44,3.76
2020-01-01,2020,"Iran, Islamic Rep.",Asia,3.2,3.5
2020-01-01,2020,Canada,Americas,1.06,1.16
2020-01-01,2020,Germany *,,0.38,0.42
2020-01-01,2020,Ireland *,,0.0,0.0
2020-02-01,2020,Mainland China,Asia,72.98,80.59
2020-02-01,2020,Russian Federation,Asia,5.56,6.14
2020-02-01,2020,Other,Other,5.42,5.98
2020-02-01,2020,United States,Americas,4.54,5.02
2020-02-01,2020,Malaysia,Asia,3.94,4.35
2020-02-01,2020,Kazakhstan,Asia,3.26,3.6
2020-02-01,2020,"Iran, Islamic Rep.",Asia,3.01,3.32
2020-02-01,2020,Canada,Americas,0.92,1.02
2020-02-01,2020,Germany *,,0.37,0.41
2020-02-01,2020,Ireland *,,0.0,0.0
2020-03-01,2020,Mainland China,Asia,67.06,71.65
2020-03-01,2020,United States,Americas,7.07,7.55
2020-03-01,2020,Russian Federation,Asia,5.97,6.37
2020-03-01,2020,Kazakhstan,Asia,5.62,6.0
2020-03-01,2020,Other,Other,5.42,5.79
2020-03-01,2020,Malaysia,Asia,4.11,4.39
2020-03-01,2020,"Iran, Islamic Rep.",Asia,3.53,3.77
2020-03-01,2020,Canada,Americas,0.79,0.85
2020-03-01,2020,Germany *,,0.43,0.46
2020-03-01,2020,Ireland *,,0.0,0.0
2020-04-01,2020,Mainland China,Asia,64.81,72.19
2020-04-01,2020,United States,Americas,7.24,8.07
2020-04-01,2020,Russian Federation,Asia,6.9,7.69
2020-04-01,2020,Kazakhstan,Asia,6.17,6.88
2020-04-01,2020,Other,Other,5.35,5.96
2020-04-01,2020,Malaysia,Asia,4.33,4.82
2020-04-01,2020,"Iran, Islamic Rep.",Asia,3.82,4.25
2020-04-01,2020,Canada,Americas,0.82,0.91
2020-04-01,2020,Germany *,,0.56,0.63
2020-04-01,2020,Ireland *,,0.0,0.0
2020-05-01,2020,Mainland China,Asia,59.48,62.89
2020-05-01,2020,Russian Federation,Asia,9.34,9.87
2020-05-01,2020,United States,Americas,8.22,8.69
2020-05-01,2020,Other,Other,6.73,7.11
2020-05-01,2020,Malaysia,Asia,5.21,5.51
