country,year,date,continent,monthly_hashrate_%,monthly_absolute_hashrate_EH/S
Canada,2019,2019-12-01,Americas,1.06,0.98
Canada,2020,2020-12-01,Americas,1.87,2.49
Canada,2021,2021-08-01,Americas,10.83,11.54
Germany *,2019,2019-12-01,,0.9,0.8
Germany *,2020,2020-12-01,,2.89,3.94
Germany *,2021,2021-08-01,,4.7,5.4
"Iran, Islamic Rep.",2019,2019-12-01,Asia,2.71,2.59
"Iran, Islamic Rep.",2020,2020-12-01,Asia,4.78,6.52
"Iran, Islamic Rep.",2021,2021-08-01,Asia,4.67,7.45
Ireland *,2019,2019-12-01,,0.0,0.0
Ireland *,2020,2020-12-01,,3.09,4.21
Ireland *,2021,2021-08-01,,5.06,5.65
Kazakhstan,2019,2019-12-01,Asia,2.18,2.08
Kazakhstan,2020,2020-12-01,Asia,6.17,7.3
Kazakhstan,2021,2021-08-01,Asia,18.1,21.85
Mainland China,2019,2019-12-01,Asia,75.53,71.03
Mainland China,2020,2020-12-01,Asia,72.98,91.1
Mainland China,2021,2021-08-01,Asia,53.3,80.01
Malaysia,2019,2019-12-01,Asia,3.92,3.74
Malaysia,2020,2020-12-01,Asia,6.23,7.7
Malaysia,2021,2021-08-01,Asia,5.39,7.73
Other,2019,2019-12-01,Other,6.66,6.1
Other,2020,2020-12-01,Other,7.36,9.49
Other,2021,2021-08-01,Other,9.41,11.17
Russian Federation,2019,2019-12-01,Asia,6.24,5.94
Russian Federation,2020,2020-12-01,Asia,9.34,10.1
Russian Federation,2021,2021-08-01,Asia,11.9,13.56
United States,2019,2019-12-01,Americas,6.58,6.02
United States,2020,2020-12-01,Americas,10.41,14.21
United States,2021,2021-08-01,Americas,35.4,42.74
